current_time,Ndate,Sdate,Shift,customer,tester,status,step,maxsites,runsiteqty,device,family,SE,Class,RowID
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT215,RUNR,MT        ,6,0,MT9016CWAT/ABZACC3434-H,5873,鍾智弦,B,9755403
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT216,SETUP,EQC       ,6,0,MT9633GAAT/ABZACC-H,5873,朱利鴻,B,9755404
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT217,SETUP,EQC       ,6,0,MT9669SAAJ/CBZBHHC3434-H,5888,徐量建,B,9755405
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT218,RUN,MT        ,6,6,MT5838AAAQ/CCZAHIE-H,5897,None,B,9755406
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XST,QAMT219,SETUPW,EQC       ,6,0,SAV127G2,nan,None,B,9755407
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT22,RUN,MT        ,6,6,MS7239BH9T/G0ZAHIA-I-H,MS7239,None,B,9755408
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MSL,QAMT220,RUN,EQC       ,6,6,MT9269EDAT/AAZBXDA2020-H,5862,None,B,9755409
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XSG,QAMT221,IDLE_L,RT1       ,6,0,SAV606D,nan,None,B,9755410
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,JMT,QAMT222,IDLE_L,EQC       ,6,0,JR0168A2-MAAB,nan,None,B,9755411
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,HIM,QAMT223,RUN,RT1       ,6,6,F5245A00DLBG000,nan,None,B,9755412
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,JMT,QAMT224,IDLE_L,MT        ,6,0,JR0585B0-QHAB,nan,None,B,9755413
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVO,QAMT23,RUN,MT        ,6,6,AIHMIT8U5,nan,None,B,9755414
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVO,QAMT24,RUN,MT        ,6,6,M2351KIAAE,nan,None,B,9755415
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,XST,QAMT26,IDLE_L,MT        ,6,0,None,nan,None,B,9755416
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,AMI,QAMT28,IDLE_L,          ,6,0,None,nan,None,B,9755417
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,NVO,QAMT29,RUN,RT2       ,6,6,NUC972DF63YC,nan,None,B,9755418
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,MTK,QAMT30,RUN,MT        ,6,6,MT9011OSAT/CBZCCA34-H,5867,None,B,9755419
2024/08/15 08:50:03,2024/8/15,2024/8/15,day,IDLE,QAMT31,IDLE_L,RT3       ,6,0,MS7241A/Q0ZAHHC2020-CLG-H,MS7241,None,B,9755420
